Estacao;Data;Hora;PrecipitacaoTotal;
83781;30/04/1989;0000;96.2;
83781;31/05/1989;0000;30.4;
83781;30/06/1989;0000;44.4;
83781;31/07/1989;0000;144.7;
83781;31/08/1989;0000;32.3;
83781;30/09/1989;0000;82.2;
83781;31/10/1989;0000;65.4;
83781;30/11/1989;0000;82.4;
83781;31/12/1989;0000;121.7;
83781;31/01/1990;0000;280.7;
83781;28/02/1990;0000;152.8;
83781;31/03/1990;0000;228.8;
83781;30/04/1990;0000;77.1;
83781;31/05/1990;0000;52.8;
83781;30/06/1990;0000;39.2;
83781;31/07/1990;0000;121;
83781;31/08/1990;0000;49.6;
83781;30/09/1990;0000;96.1;
83781;31/10/1990;0000;117.6;
83781;30/11/1990;0000;76;
83781;31/12/1990;0000;124.7;
83781;31/01/1991;0000;270.7;
83781;28/02/1991;0000;358;
83781;31/03/1991;0000;451.3;
83781;30/04/1991;0000;169;
83781;31/05/1991;0000;34.2;
83781;30/06/1991;0000;85.8;
83781;31/07/1991;0000;26.2;
83781;31/08/1991;0000;39.3;
83781;30/09/1991;0000;65.6;
83781;31/10/1991;0000;153.9;
83781;30/11/1991;0000;48;
83781;31/12/1991;0000;220.6;
83781;31/01/1992;0000;203.4;
83781;29/02/1992;0000;184;
83781;31/03/1992;0000;273.7;
83781;30/04/1992;0000;59.3;
83781;31/05/1992;0000;71.4;
83781;30/06/1992;0000;18.6;
83781;31/07/1992;0000;39.1;
83781;31/08/1992;0000;25.8;
83781;30/09/1992;0000;180.6;
83781;31/10/1992;0000;177.5;
83781;30/11/1992;0000;213.8;
83781;31/12/1992;0000;201;
83781;31/01/1993;0000;248.7;
83781;28/02/1993;0000;265.6;
83781;31/03/1993;0000;92.5;
83781;30/04/1993;0000;118.4;
83781;31/05/1993;0000;101.2;
83781;30/06/1993;0000;57.5;
83781;31/07/1993;0000;15.2;
83781;31/08/1993;0000;52.1;
83781;30/09/1993;0000;206.7;
83781;31/10/1993;0000;148.5;
83781;30/11/1993;0000;96.2;
83781;31/12/1993;0000;180.3;
83781;31/01/1994;0000;231.9;
83781;28/02/1994;0000;170.8;
83781;31/03/1994;0000;252.3;
83781;30/04/1994;0000;99.9;
83781;31/05/1994;0000;40.7;
83781;30/06/1994;0000;31.9;
83781;31/07/1994;0000;26.1;
83781;31/08/1994;0000;3.1;
83781;30/09/1994;0000;1.3;
83781;31/10/1994;0000;126.8;
83781;30/11/1994;0000;122.8;
83781;31/12/1994;0000;311.1;
83781;31/01/1995;0000;379;
83781;28/02/1995;0000;445.5;
83781;31/03/1995;0000;304.1;
83781;30/04/1995;0000;64.9;
83781;31/05/1995;0000;74.4;
83781;30/06/1995;0000;58.7;
83781;31/07/1995;0000;47.1;
83781;31/08/1995;0000;16.7;
83781;30/09/1995;0000;41.5;
83781;31/10/1995;0000;229.9;
83781;30/11/1995;0000;97.7;
83781;31/12/1995;0000;202;
83781;31/01/1996;0000;354.9;
83781;29/02/1996;0000;305.6;
83781;31/03/1996;0000;396.8;
83781;30/04/1996;0000;81.7;
83781;31/05/1996;0000;33.1;
83781;30/06/1996;0000;54.1;
83781;31/07/1996;0000;7.2;
83781;31/08/1996;0000;31.6;
83781;30/09/1996;0000;178.9;
83781;31/10/1996;0000;154;
83781;30/11/1996;0000;93.9;
83781;31/12/1996;0000;331.4;
83781;31/01/1997;0000;313.3;
83781;28/02/1997;0000;181.1;
83781;31/03/1997;0000;76;
83781;30/04/1997;0000;71.6;
83781;31/05/1997;0000;75;
83781;30/06/1997;0000;122.5;
83781;31/07/1997;0000;10;
83781;31/08/1997;0000;22.3;
83781;30/09/1997;0000;140.9;
83781;31/10/1997;0000;96.1;
83781;30/11/1997;0000;220.1;
83781;31/12/1997;0000;255.4;
83781;31/01/1998;0000;200.6;
83781;28/02/1998;0000;394.2;
83781;31/03/1998;0000;252.9;
83781;30/04/1998;0000;92.8;
83781;31/05/1998;0000;130;
83781;30/06/1998;0000;16.1;
83781;31/07/1998;0000;10.1;
83781;31/08/1998;0000;42.5;
83781;30/09/1998;0000;95;
83781;31/10/1998;0000;216.4;
83781;30/11/1998;0000;38.6;
83781;31/12/1998;0000;241.2;
83781;31/01/1999;0000;319.1;
83781;28/02/1999;0000;369.8;
83781;31/03/1999;0000;187.3;
83781;30/04/1999;0000;35.8;
83781;31/05/1999;0000;35.5;
83781;30/06/1999;0000;84.3;
83781;31/07/1999;0000;25.6;
83781;31/08/1999;0000;1.4;
83781;30/09/1999;0000;80.1;
83781;31/10/1999;0000;62;
83781;30/11/1999;0000;101.4;
83781;31/12/1999;0000;74.6;
83781;31/01/2000;0000;328.3;
83781;29/02/2000;0000;246.6;
83781;31/03/2000;0000;100.1;
83781;30/04/2000;0000;6.3;
83781;31/05/2000;0000;9.3;
